id,index,label,weight,year,words
t1,0,T2,0.4,2000,"['antigen', 'adjuvant', 'epitope', 'immune']"
t2,1,T3,0.45,2000,"['tumor', 'carcinoma', 'lung', 'metastasis', 'breast']"
t3,2,T4,0.7,2000,"['virus', 'influenza', 'haptitis', 'immunodeficiency', 'herpes']"
t4,3,T1,0.2,2002,"['immunoglobulin', 'region', 'light', 'mrna']"
t5,4,T2,0.3,2002,"['antigen', 'adjuvant', 'epitope', 'immune']"
t6,5,T3,0.5,2002,"['tumor', 'carcinoma', 'lung', 'metastasis', 'breast']"
t7,6,T4,0.55,2002,"['virus', 'influenza', 'haptitis', 'immunodeficiency', 'herpes']"
t8,7,T2,0.33,2004,"['antigen', 'adjuvant', 'epitope', 'immune']"
t9,8,T3,0.45,2004,"['tumor', 'carcinoma', 'lung', 'metastasis', 'breast']"
t10,9,T4,0.4,2004,"['virus', 'influenza', 'haptitis', 'immunodeficiency', 'herpes']"
t11,10,T1,0.25,2006,"['immunoglobulin', 'region', 'light', 'mrna']"
t12,11,T2,0.6,2006,"['antigen', 'adjuvant', 'epitope', 'immune']"
t13,12,T3,0.4,2006,"['tumor', 'carcinoma', 'lung', 'metastasis', 'breast']"
t14,13,T4,0.3,2006,"['virus', 'influenza', 'haptitis', 'immunodeficiency', 'herpes']"
t15,14,T1,0.3,2008,"['immunoglobulin', 'region', 'light', 'mrna']"
t16,15,T2,0.67,2008,"['antigen', 'adjuvant', 'epitope', 'immune']"
t17,16,T3,0.55,2008,"['tumor', 'carcinoma', 'lung', 'metastasis', 'breast']"
t18,17,T4,0.73,2008,"['virus', 'influenza', 'haptitis', 'immunodeficiency', 'herpes']"
t19,18,T1,0.45,2010,"['immunoglobulin', 'region', 'light', 'mrna']"
t20,19,T2,0.55,2010,"['antigen', 'adjuvant', 'epitope', 'immune']"
t21,20,T3,0.65,2010,"['tumor', 'carcinoma', 'lung', 'metastasis', 'breast']"
t22,21,T4,0.6,2010,"['virus', 'influenza', 'haptitis', 'immunodeficiency', 'herpes']"
t23,22,T2,0.77,2012,"['antigen', 'adjuvant', 'epitope', 'immune']"
t24,23,T3,0.65,2012,"['tumor', 'carcinoma', 'lung', 'metastasis', 'breast']"
t25,24,T4,0.55,2012,"['virus', 'influenza', 'haptitis', 'immunodeficiency', 'herpes']"
t26,25,T2,0.4,2014,"['antigen', 'adjuvant', 'epitope', 'immune']"
t27,26,T3,0.7,2014,"['tumor', 'carcinoma', 'lung', 'metastasis', 'breast']"
t28,27,T4,0.6,2014,"['virus', 'influenza', 'haptitis', 'immunodeficiency', 'herpes']"
t29,28,T1,0.65,2016,"['immunoglobulin', 'region', 'light', 'mrna']"
t30,29,T2,0.55,2016,"['antigen', 'adjuvant', 'epitope', 'immune']"
t31,30,T3,0.85,2016,"['tumor', 'carcinoma', 'lung', 'metastasis', 'breast']"
t32,31,T4,0.5,2016,"['virus', 'influenza', 'haptitis', 'immunodeficiency', 'herpes']"
t33,32,T2,0.5,2018,"['antigen', 'adjuvant', 'epitope', 'immune']"
t34,33,T3,0.65,2018,"['tumor', 'carcinoma', 'lung', 'metastasis', 'breast']"
